"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""【理响中国·青年学习班】微视频丨在主题教育中擦亮“为民坐标”""","https://www.voc.com.cn/article/202308/202308221839261704.html","2023-08-22 18:39:26","","Voc Cn","China","Top","Chinese","…","",""
"""西藏：美丽的扎日南木错""","https://www.voc.com.cn/article/202308/202308221838431985.html","2023-08-22 18:38:43","","Voc Cn","China","Top","Chinese","…","",""
"""西藏曲水县：产业园区助增收""","https://www.voc.com.cn/article/202308/202308221837597900.html","2023-08-22 18:37:59","","Voc Cn","China","Top","Chinese","…","",""
"""石榴花开 籽籽同心｜从荒漠到梯田 黄沙之上再造“秀美山川”""","https://www.voc.com.cn/article/202308/202308221837106271.html","2023-08-22 18:37:10","","Voc Cn","China","Top","Chinese","…","",""
"""大汉城建成功获得建行9000万22年期住房租赁贷款融资支持""","https://www.voc.com.cn/article/202308/202308221748188778.html","2023-08-22 17:48:18","","Voc Cn","China","Top","Chinese","…","",""
"""国寿寿险：扎实推进金融消保，助力构建和谐金融消费环境""","https://www.voc.com.cn/article/202308/202308221746493598.html","2023-08-22 17:46:49","","Voc Cn","China","Top","Chinese","…","",""
"""校企“双向奔赴”长沙航院访企拓岗成果丰硕""","https://www.voc.com.cn/article/202308/20230822174504782.html","2023-08-22 17:45:04","","Voc Cn","China","Top","Chinese","…","",""
"""湖南铁道书记、校长带队访企拓岗，紧密校企合作、推动双向奔赴""","https://www.voc.com.cn/article/202308/20230822174322967.html","2023-08-22 17:43:22","","Voc Cn","China","Top","Chinese","…","",""
"""科技股反彈 歐股收漲""","https://ec.ltn.com.tw/article/breakingnews/4404590","2023-08-22 17:21:03","","Ltn","Taiwan","Business","Chinese","由於科技股反彈，歐洲股市今天收漲，不過投資人對中國經濟和美國利率前景仍有疑慮。 倫敦FTSE 100指數小漲12.94點或0.18%，收7270.76點。 ...…","",""
"""满帮配合湘、豫警方破获多起“倒货”电信诈骗案""","https://www.voc.com.cn/article/202308/20230822171025895.html","2023-08-22 17:10:25","","Voc Cn","China","Top","Chinese","…","",""
"""烟花大会圆满落幕！见证《大话西游》璀璨之美""","https://www.voc.com.cn/article/202308/202308221704295748.html","2023-08-22 17:04:29","","Voc Cn","China","Top","Chinese","…","",""
"""5件事讓「小弟弟硬不起來」 泌尿科醫細說軟香蕉成因""","https://www.ettoday.net/news/20230823/2566547.htm?from=rss","2023-08-22 17:02:00","","Ettoday","Taiwan","Health","Chinese","身為男性，床上最在意的莫過於自己是否硬挺又持久，但部分男性無法維持足夠堅硬的勃起以進行性行為，也就是俗稱的男性性功能障礙「陽痿」。對此，泌尿科醫師高銘鴻點名勃起功能障礙的5原因，「如果你有這類困擾，可以看看自己中了幾項！」 《詳全文...》","https://cdn2.ettoday.net/images/4351/c4351692.jpg",""
"""中国电信董事长柯瑞文：发挥云网融合优势 助力算力产业高质量发展""","https://www.voc.com.cn/article/202308/202308221652576774.html","2023-08-22 16:52:57","","Voc Cn","China","Top","Chinese","…","",""
"""捅破天技术继续升级 华为Mate 60系列或首发卫星电话功能""","http://news.imobile.com.cn/articles/2023/0822/224670.shtml","2023-08-22 16:51:49","手机之家","I Mobile","China","Technology","Chinese","在去年华为Mate 50系列发布会上，华为首次支持了北斗卫星消息功能，被称为向上捅破天的技术。在今年春季发布的华为P60上，又支持了双向北斗卫星消息功能。没想到捅破天的计划还没有结束，据悉华为Mate 60系列可能会新增卫星电话功能。近日，数码博主“旺仔百事通”转发了他在6月份发布的一条微博，透露华为Mate 60系列会首发卫星电话功能。毫无疑问，这项功能比卫星消息功能更加实用，尤其是在极端无网络的情况下，用户可以更加高效地和外界联络，能够及时获得救援，大幅降低意外情况的发生。如果卫星电话功能可以落地的话，无疑证明了华为再次在通信技术上遥遥领先。据爆料，苹果有可能在9月12日发布iPhone 15系列，华为Mate 60系列可能继续和苹果正面交锋，那么你更加期待其中的哪款产品呢?","",""
"""一加李杰：把产品做好 把价格定好 将选择权交给用户""","http://news.imobile.com.cn/articles/2023/0822/224669.shtml","2023-08-22 16:51:49","手机之家","I Mobile","China","Technology","Chinese","【手机之家】8月进入初秋，天气逐渐转凉，但手机市场的火热依旧不减。 作为一加今年发布的第四款产品，也是Ace系列发布的第三款产品，一加 Ace 2 Pro尚未发布就已经扰动两个品牌高管纷纷下场。前有小米发布会后#一加定价#词条登上热搜，后有一加在发布上用米氏对比法隔空喊话小米，双方你来我往打得火热，果然真实的商战永远这么朴实无华。 会后，一加中国区总裁李杰接受媒体群访时坦露，“如果我们受到了不公的待遇或者非事实指责的时候，我们会做一些回应。”于是发布会上，一加临时增加了几页产品层面对比PPT作为回应。 抛开这些“花边新闻”不谈，产品经理出身的李杰谈到与专业相关的问题时，他会滔滔不绝地回答，极为细心地讲解。他更愿意向大众阐述一加 Ace 2 Pro这款产品诞生的动机，研发时的一些坚持以及一加未来的规划和定位。 把产品做好，把价格定好，将选择权交给用户 话题的争端源于Redmi K60至尊版激进的定价策略，起售价比上代产品直降1000元，卖到了2599元，同时与会上的对比也将一加推到了风口浪尖，面对小米的一套组合拳，大家都在观望一加该如何应对。 友商“咄咄逼人”的态势让一加一改以往的风格，发布会上李杰抛出了“卡价位优先VS产品力优先”的理念。所谓的卡价位优先是手机厂商为了锚点住某一个价格，再倒推手机要采用什么配置，定价决定产品。而产品力优先则是先做好产品，再根据成本进行定价。 两个品牌的高层下场“厮杀”的背后，是源于一加Ace系列与Redmi K系列从定位到售价再到目标用户的高度重叠。过去，Redmi凭借性价比产品策略获得了庞大的用户基础，但在OPPO为一加提供百亿护航计划和三年硬件综合利润率可以为0的承诺下，目前一加主要聚焦在2000元以上线上市场，Ace2、Ace2 V、Ace2 Pro分别以2799元、2299元、2999元起售。今年1-6月，一加销量是去年同比的335%，其中一加 Ace系列销量同比增长1537%，相对K系列的销量比例，从3%提升到56%，“性价比”不再是Redmi的护城河。 一加成功的背后源于对精品策略的坚持，李杰表示，“每个档位里面我们基本上都会先考虑这个档位用户需要什么，核心场景是什么，以及基于现在市场洞察，相比于现在其他用户可以选择的产品，我们能够提供哪些差异化价值，提供哪些更好体验和服务，这是所有事情的原点。有了这个以后，接下来才是对于价格的思考。” 同时，李杰强调一加的策略从一开始就是给出非常诚意的首发价格，避免在生命周期当中频繁跳水。具体总结为产品力接近，一加定价一定更极致，价格接近，一加产品一定更领先，先做好产品力，然后才是定价上寻求优势。一加永远不会去搞卡价位的思路，只有（产品力优先）一条路，而且这是有可能走成功的一条道路。一加内部非常清晰也非常坚定笃定往前走，创新和差异化一定是必经之路。 何为性能手机的引领者 2021年9月，在OPPO已十年之久的李杰从OPPO调任一加任中国区总裁，在此之前，李杰自2013年起先后负责Find系列产品规划及OPPO中国区战略规划等工作。作为手机行业十余年老兵，李杰在刚接手一加时就为品牌定下了三个关键特性：“极致性能”、“质感设计”、“旗舰体验”。 发布会上李杰表示：“一加会坚定选择「产品力优先」的道路。过去一段时间，我们做了很多践行「产品力优先」的事情，上半场，我们在持续提升性能手机的行业下限。下半场，一加 Ace 2 Pro要推高行业上限，重构性能想象。” “极致性能”自然不必说，最新发布的采用第二代骁龙8移动平台+ LPDDR5X + UFS 4.0的顶级性能配置，提供至高24GB + 1TB的超大存储组合，同时，一加 Ace 2 Pro全球首发京东Q9+发光材料和航天级“天工散热系统”，搭载索尼旗舰级IMX890主摄、仿生振感马达和长寿版150W超级闪充，为用户带来全面旗舰体验。 值得注意的是，一加从Ace Pro开始就已经全面抛弃8GB内存产品，Ace Pro第一代发布时12GB，起步16GB就已经成为主力机型，超过7成、接近8成的用户都选择了16GB版本。李杰表示一加从去年开始就已经联合上游合作伙伴，从24GB内存的供应到内存优化的全链路研发，尤其是对App应用的适配，以实现应用保活和手机功耗之间的平衡。 一加Ace2 Pro更是通过全球首发京东Q9+发光材料、航天级“天工散热系统”、仿生振感马达、长寿版150W超级闪充、屏下超薄指纹解锁模组等硬件的加入，使得屏幕效果，质感、振动反馈，指纹识别这些用户弱感知的功能得到质感提升，这些都是一加手机在产品力上的表现。 以雨水触控功能为例，一加早在一年就开始了雨水触控功能的立项和技术研发，经过不断的工程化验证、测试，中间也遭遇到技术的困难瓶颈，最终借助全新定制屏幕芯片及「空域卷积滤波技术」、「自电容技术」、「单连通域单指技术」三大触控核心算法合理还原手指信号，一加 Ace 2 Pro实现了雨水触控体验，大幅提升湿手操作精准度。可以说，这项功能是对“极致性能、质感设计、旗舰体验”品牌调性的最佳演绎。 李杰表示，一加作为性能手机引领者，一直在不断「推高行业上限」，无论是舍弃塑料支架，还是引领大内存普及。甚至，在软件版本维护更新周期上，无论新品还是老品，我们都率先做到领先行业的高标准软件更新，致力为用户提供更全面更极致的服务。未来一加会继续引领行业前进，给用户更好的体验！ 尾声： 媒体采访过程中有个小插曲，有媒体向李杰展示了Redmi卢伟冰刚发的一条微博内容“这几年行业都在大踏步前进，只有一家在“高歌猛退”，建议把精力都花在正经事上...”似乎已有所指。为此李杰回应，我们认为手机是刚需，一加现在的体量相对于外部这么大的容量的市场来说，依然还有广阔的成长空间。我们只需要做出更好的产品，争取更多用户。对于一加来说前面有广阔的市场空间等着一加去闯荡，我们暂时会比较聚焦一点，在当前的市场和细分里面，我一直觉得机会是大于挑战。 会后李杰在微博上公布了一加 Ace 2 Pro的首销数据，据悉一加 Ace 2 Pro预售仅 26小时便打破2023年全年全价位段、全品牌所有机型的预售记录，15万台现已告罄，因需求已经远超产能，一加已将一加 Ace 2 Pro全网预售改为预约，并紧急加单，加快生产。多款产品的成功，让用户对一加的未来有了更大的信心。","",""
"""整机素质全面提升 iPhone 15 Pro Max或更名为iPhone 15 Ultra""","http://news.imobile.com.cn/articles/2023/0822/224671.shtml","2023-08-22 16:51:49","手机之家","I Mobile","China","Technology","Chinese","根据国外媒体爆料，苹果可能将iPhone 15 Pro Max更名为iPhone 15 Ultra，这将是苹果史上首款以Ultra为后缀的手机。反观近几代iPhone，Pro Max一般只是Pro机型简单放大款，硬件配置方面没有升级。而这次iPhone 15 Ultra很可能在整机素质方面有大幅度提升。据悉，iPhone 15 Ultra将首次配备潜望式长焦镜头，支持6倍光学变焦，将带来更加自然出色的拍照便携。另外，iPhone 15 Ultra搭载A17仿生芯片，这款芯片将是首款采用3nm制程工艺的移动芯片。另外最高可能会提供2TB存储，支持Wi-Fi-6E，屏幕是120Hz ProMotion高刷屏。iPhone 15 Ultra的USB-C接口可能也会和标准版拉开差距，将配备雷电接口，理论传输速率将达到40Gbps，可以更加快速地传输各类数据。而标准版iPhone 15速率上限是480Mbps。","",""
"""三番战北京瓷器厂复仇上海ARK1399 2023“街球霸王”长沙站火热收官""","https://www.voc.com.cn/article/202308/202308221648544137.html","2023-08-22 16:48:54","","Voc Cn","China","Top","Chinese","…","",""
"""11部门开展专项行动 已取缔34家非法社会组织""","https://www.voc.com.cn/article/202308/20230822164804153.html","2023-08-22 16:48:04","","Voc Cn","China","Top","Chinese","…","",""
"""最高检发布指导性案例惩治金融领域职务犯罪 答记者问""","https://www.voc.com.cn/article/202308/202308221647105087.html","2023-08-22 16:47:10","","Voc Cn","China","Top","Chinese","…","",""
